Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
34.0,Female,86.7,1.86,174,152.0,74.0,1.12,712.0,Strength,12.8,2.4,5.0,2.0,14.31
26.0,Female,84.7,1.83,166,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5.0,2.0,33.49
22.0,Male,64.8,1.85,187,166.0,64.0,1.24,1678.0,Cardio,28.7,1.9,3.0,2.0,12.73
54.0,Female,75.3,1.82,187,169.0,58.0,1.45,628.0,Cardio,31.8,2.4,4.0,1.0,20.37
34.0,Female,52.8,1.74,177,169.0,66.0,1.6,1286.0,Strength,26.4,3.2,4.0,2.0,20.83
38.0,Female,53.0,1.58,161,128.0,74.0,1.62,953.0,HIIT,23.4,2.5,2.0,2.0,13.02
44.0,Female,46.5,1.81,191,142.0,74.0,1.46,1238.0,Cardio,11.9,3.7,2.0,2.0,18.12
50.0,Female,88.5,1.63,181,136.0,63.0,1.63,829.0,Strength,11.6,1.8,4.0,2.0,19.16
18.0,Female,82.9,1.54,174,169.0,64.0,0.77,802.0,HIIT,27.8,2.2,3.0,1.0,49.84
34.0,Female,65.9,1.74,195,169.0,73.0,2.0,1231.0,Yoga,30.5,3.2,5.0,2.0,12.32
39.0,Female,47.0,1.78,181,155.0,55.0,1.89,747.0,Yoga,31.7,2.3,3.0,3.0,28.39
46.0,Male,40.0,1.88,168,131.0,69.0,2.0,672.0,,25.4,2.4,2.0,2.0,12.32
19.0,Male,87.7,1.98,186,145.0,50.0,1.61,1705.0,Strength,14.1,2.3,3.0,2.0,15.99
56.0,Female,107.4,1.73,176,141.0,71.0,0.65,1564.0,HIIT,26.0,3.0,2.0,3.0,14.48
19.0,Female,71.7,1.91,197,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4.0,2.0,19.09
30.0,Female,90.6,1.6,161,125.0,52.0,1.03,1410.0,Yoga,16.0,3.5,4.0,2.0,13.91
23.0,Male,56.2,1.76,195,141.0,55.0,1.45,1195.0,HIIT,23.9,3.2,4.0,1.0,22.61
39.0,Female,71.3,1.77,171,124.0,74.0,0.69,871.0,Cardio,21.9,2.1,5.0,1.0,14.31
54.0,Female,47.7,1.56,181,128.0,74.0,1.5,853.0,Yoga,26.5,1.5,3.0,1.0,23.64
,Male,63.0,1.51,184,169.0,71.0,1.3,1136.0,Cardio,23.8,2.3,3.0,2.0,22.69
26.0,Male,129.9,1.71,196,136.0,74.0,1.27,931.0,Yoga,26.6,1.8,5.0,1.0,21.04
22.0,Female,102.4,1.5,173,156.0,55.0,1.44,453.0,HIIT,17.5,1.6,4.0,3.0,18.23
36.0,Female,64.2,1.78,192,130.0,74.0,1.38,1708.0,Yoga,31.9,2.1,,1.0,25.59
18.0,Male,129.4,1.5,177,145.0,71.0,,772.0,Strength,22.0,1.7,5.0,1.0,18.07
25.0,Male,57.2,1.82,184,140.0,74.0,1.15,888.0,Strength,26.9,2.6,4.0,2.0,15.23
59.0,Male,71.8,1.5,165,152.0,74.0,1.94,758.0,Yoga,28.9,3.3,3.0,1.0,16.87
18.0,Male,112.4,1.71,177,165.0,55.0,1.56,1044.0,HIIT,33.5,1.7,2.0,2.0,24.43
18.0,Male,40.0,1.72,188,155.0,74.0,1.51,1266.0,Cardio,26.4,2.5,2.0,,17.79
25.0,Female,64.3,1.65,183,169.0,67.0,1.28,1783.0,Cardio,20.0,3.2,2.0,3.0,20.59
32.0,Male,72.4,1.74,189,127.0,60.0,1.4,1090.0,Yoga,16.9,1.6,2.0,1.0,17.68
28.0,Male,62.4,1.56,193,141.0,55.0,2.0,861.0,Cardio,32.2,3.6,3.0,1.0,18.61
27.0,Female,78.6,1.65,198,127.0,66.0,1.61,938.0,Yoga,26.8,3.1,3.0,1.0,17.92
44.0,Female,45.0,1.53,199,158.0,50.0,0.7,930.0,Strength,21.9,3.6,4.0,1.0,27.74
20.0,Female,103.4,1.53,180,166.0,56.0,1.28,631.0,HIIT,23.0,3.0,4.0,1.0,19.18
51.0,Male,79.2,1.85,178,147.0,51.0,1.52,1355.0,Strength,23.2,2.0,4.0,1.0,18.95
52.0,Female,40.0,1.84,\t182,156.0,56.0,1.2,1258.0,Cardio,25.0,2.0,4.0,2.0,12.32
35.0,Male,75.7,1.61,192,147.0,52.0,0.92,1211.0,Strength,21.2,2.4,3.0,2.0,23.19
21.0,Male,76.8,1.75,166,125.0,74.0,1.56,1152.0,Strength,25.1,2.7,3.0,1.0,16.66
48.0,Female,112.6,1.69,160,162.0,63.0,0.89,1482.0,Cardio,22.6,2.5,4.0,2.0,12.32
18.0,Male,73.7,1.78,192,154.0,73.0,1.18,851.0,Strength,27.4,2.6,2.0,2.0,21.08
18.0,Female,84.0,1.71,194,148.0,52.0,0.92,621.0,Strength,28.3,3.4,3.0,3.0,17.99
28.0,Male,68.0,1.7,174,155.0,68.0,0.74,1464.0,Yoga,17.0,2.3,3.0,2.0,21.67
